# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Nov 21 15:02:51 2020
#
# CONSTRAINT:  where (pl_facility like 'Transiting Exoplanet Survey Satellite (TESS)')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HR 858,d,HR 858 d,Transit,0,3,11.23000000,0.00110000,-0.00100000,0,0.102700,0.002200,-0.002500,0,0.280000,,,1,87.430,0.180,-0.190,0,,,,,,0.193,0.008,-0.007,0,,,,,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
L 168-9,b,L 168-9 b,Transit,0,1,1.40150000,0.00018000,-0.00018000,0,0.020910,0.000240,-0.000240,0,0.210000,,,1,85.500,0.800,-0.700,0,0.01447,0.00176,-0.00176,0,Mass,0.124,0.008,-0.008,0,9.60000,2.40000,-1.80000,0,0,0,0,0,23h20m07.53s,350.031372,-60d03m54.7s,-60.065182,25.17,0.02,-0.02,0,25.17,0.02,-0.02,0,11.014,0.011,0,V (Johnson),10.232,,0,3800.00,70.00,-70.00,0,0.62,0.03,-0.03,0,0.60,0.02,-0.02,0,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,b,L 98-59 b,Transit,0,3,2.25310000,0.00040000,-0.00040000,0,0.022820,0.000080,-0.000080,0,0.120000,,,1,,,,,0.00318,,,1,Mass,0.071,0.004,-0.004,0,12.70000,,,1,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),10.598,,0,3412.00,49.00,-49.00,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,2020-04-16,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,c,L 98-59 c,Transit,0,3,3.69040000,0.00030000,-0.00030000,0,0.031700,0.000100,-0.000100,0,0.070000,,,1,,,,,0.00761,0.00110,-0.00107,0,Mass,0.120,0.006,-0.006,0,5.40000,1.30000,-1.00000,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),10.598,,0,3412.00,49.00,-49.00,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,2020-04-16,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,d,L 98-59 d,Transit,0,3,7.45120000,0.00070000,-0.00070000,0,0.050600,0.000200,-0.000200,0,0.090000,,,1,,,,,0.00727,0.00145,-0.00142,0,Mass,0.140,0.012,-0.012,0,3.30000,1.30000,-0.90000,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),10.598,,0,3412.00,49.00,-49.00,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,2020-04-16,Transiting Exoplanet Survey Satellite (TESS)
LHS 1815,b,LHS 1815 b,Transit,0,1,3.81433000,0.00003000,-0.00003000,0,0.040400,0.009400,-0.009400,0,0.000000,,,0,88.125,1.113,-1.113,0,0.02737,,,1,Mass,0.097,0.006,-0.006,0,,,,,0,0,0,0,06h04m20.36s,91.084816,-55d18m46.8s,-55.313011,29.87,0.02,-0.02,0,29.87,0.02,-0.02,0,12.150,0.025,0,V (Johnson),11.236,,0,3643.00,142.00,-142.00,0,0.50,0.01,-0.01,0,0.50,0.03,-0.03,0,2020-03-19,Transiting Exoplanet Survey Satellite (TESS)
LHS 3844,b,LHS 3844 b,Transit,0,1,0.46292913,0.00000190,-0.00000190,0,0.006220,0.000170,-0.000170,0,,,,,88.500,0.510,-0.510,0,,,,,,0.116,0.002,-0.002,0,,,,,0,0,0,0,22h41m58.10s,340.492104,-69d10m08.4s,-69.168986,14.90,0.01,-0.01,0,14.89,0.01,-0.01,0,15.260,0.030,0,V (Johnson),13.393,,0,3036.00,77.00,-77.00,0,0.15,0.01,-0.01,0,0.19,0.01,-0.01,0,2019-01-24,Transiting Exoplanet Survey Satellite (TESS)
LP 791-18,b,LP 791-18 b,Transit,0,2,0.94800500,0.00000580,-0.00000580,0,0.009690,0.000320,-0.000350,0,0.000000,,,0,87.300,2.000,-4.900,0,,,,,,0.100,0.012,-0.012,0,,,,,0,0,0,0,11h02m45.96s,165.691500,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0,16.900,0.200,0,V (Johnson),15.072,,0,2960.00,55.00,-55.00,0,0.14,0.01,-0.01,0,0.17,0.02,-0.02,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
LP 791-18,c,LP 791-18 c,Transit,0,2,4.98996300,0.00005000,-0.00005000,0,0.029392,0.000980,-0.001050,0,0.000000,,,0,89.550,0.320,-0.500,0,,,,,,0.206,0.022,-0.022,0,,,,,0,0,0,0,11h02m45.96s,165.691500,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0,16.900,0.200,0,V (Johnson),15.072,,0,2960.00,55.00,-55.00,0,0.14,0.01,-0.01,0,0.17,0.02,-0.02,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882000,0.00030000,-0.00031000,0,0.038070,0.000680,-0.000710,0,0.190000,0.350000,-0.140000,0,89.400,0.410,-0.460,0,0.00692,0.00535,-0.00661,0,Mass,0.123,0.012,-0.011,0,4.40000,4.00000,-4.20000,0,0,0,0,0,03h01m51.39s,45.464111,-16d35m36.1s,-16.593372,6.87,0.00,0.00,0,6.87,0.00,0.00,0,11.220,0.020,0,V (Johnson),10.047,,0,3337.00,150.00,-150.00,0,0.26,0.01,-0.01,0,0.28,0.02,-0.02,0,2019-08-15,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780,b,LTT 3780 b,Transit,0,2,0.76844800,0.00005500,-0.00005300,0,0.012110,0.000120,-0.000120,0,0.000000,,,0,87.100,1.800,-1.700,0,0.00824,0.00151,-0.00145,0,Mass,0.119,0.006,-0.007,0,6.10000,1.80000,-1.50000,0,0,0,0,0,10h18m34.78s,154.644917,-11d43m04.08s,-11.717800,21.98,0.04,-0.04,0,22.00,0.04,-0.04,0,13.070,0.015,0,V (Johnson),11.846,,0,3331.00,157.00,-157.00,0,0.40,0.01,-0.01,0,0.37,0.01,-0.01,0,2020-06-04,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780,c,LTT 3780 c,Transit,0,2,12.25190000,0.00280000,-0.00300000,0,0.076730,0.000750,-0.000770,0,0.060000,0.150000,-0.140000,0,89.180,0.470,-0.220,0,0.02706,0.00503,-0.00409,0,Mass,0.205,0.014,-0.013,0,3.90000,1.00000,-0.90000,0,0,0,0,0,10h18m34.78s,154.644917,-11d43m04.08s,-11.717800,21.98,0.04,-0.04,0,22.00,0.04,-0.04,0,13.070,0.015,0,V (Johnson),11.846,,0,3331.00,157.00,-157.00,0,0.40,0.01,-0.01,0,0.37,0.01,-0.01,0,2020-06-04,Transiting Exoplanet Survey Satellite (TESS)
LTT 9779,b,LTT 9779 b,Transit,0,1,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,0.000000,,,0,76.390,0.430,-0.430,0,0.09225,0.00245,-0.00255,0,Mass,0.421,0.021,-0.021,0,1.53600,0.12300,-0.12300,0,0,0,0,0,23h54m40.21s,358.667542,-37d37m40.5s,-37.627926,80.62,0.32,-0.32,0,80.62,0.32,-0.32,0,9.758,0.026,0,V (Johnson),9.600,,0,5443.00,14.00,-13.00,0,0.77,0.29,-0.21,0,0.95,0.01,-0.01,0,2020-09-24,Transiting Exoplanet Survey Satellite (TESS)
NGTS-11,b,NGTS-11 b,Transit,0,1,35.45533000,0.00019000,-0.00019000,0,0.201000,0.002100,-0.002200,0,0.130000,0.100000,-0.090000,0,89.160,0.200,-0.290,0,0.34400,0.09200,-0.07300,0,Mass,0.817,0.028,-0.032,0,0.78000,0.21000,-0.17000,0,0,0,0,1,01h34m05.15s,23.521458,-14d25m08.9s,-14.419139,191.46,1.77,-1.77,0,191.46,1.77,-1.77,0,12.456,0.080,0,V (Johnson),12.189,,0,5050.00,80.00,-80.00,0,0.86,0.03,-0.03,0,0.83,0.01,-0.01,0,2020-07-09,Transiting Exoplanet Survey Satellite (TESS)
TOI-1130,b,TOI-1130 b,Transit,0,2,4.06649900,0.00004600,-0.00004500,0,0.043940,0.000350,-0.000380,0,0.220000,0.110000,-0.110000,0,87.980,0.860,-0.460,0,,,,,,0.326,0.009,-0.009,0,,,,,0,0,0,0,19h05m30.24s,286.376000,-41d26m15.49s,-41.437636,58.36,0.17,-0.17,0,58.36,0.17,-0.17,0,11.368,,0,V (Johnson),10.903,,0,4250.00,67.00,-67.00,0,0.68,0.02,-0.02,0,0.69,0.01,-0.01,0,2020-04-02,Transiting Exoplanet Survey Satellite (TESS)
TOI-1130,c,TOI-1130 c,Transit,0,2,8.35038100,0.00003200,-0.00003300,0,0.070980,0.000560,-0.000600,0,0.047000,0.040000,-0.027000,0,87.430,0.160,-0.160,0,0.97400,0.04300,-0.04400,0,Mass,1.500,0.270,-0.220,0,0.38000,0.24000,-0.15000,0,0,0,0,0,19h05m30.24s,286.376000,-41d26m15.49s,-41.437636,58.36,0.17,-0.17,0,58.36,0.17,-0.17,0,11.368,,0,V (Johnson),10.903,,0,4250.00,67.00,-67.00,0,0.68,0.02,-0.02,0,0.69,0.01,-0.01,0,2020-04-02,Transiting Exoplanet Survey Satellite (TESS)
TOI-1235,b,TOI-1235 b,Transit,0,1,3.44472900,0.00003100,-0.00002800,0,0.038450,0.000370,-0.000400,0,0.150000,,,1,88.100,0.800,-0.900,0,0.02174,0.00236,-0.00267,0,Mass,0.155,0.008,-0.007,0,7.40000,1.50000,-1.30000,0,0,0,0,0,10h08m52.38s,152.218250,+69d16m35.83s,69.276619,39.63,0.05,-0.05,0,39.68,0.05,-0.05,0,11.495,0.056,0,V (Johnson),10.849,,0,3872.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.63,0.01,-0.01,0,2020-06-04,Transiting Exoplanet Survey Satellite (TESS)
TOI-125,b,TOI-125 b,Transit,0,3,4.65382000,0.00033000,-0.00031000,0,0.051860,0.000860,-0.000770,0,0.194000,0.041000,-0.036000,0,88.920,0.710,-0.600,0,0.02989,0.00277,-0.00277,0,Mass,0.243,0.007,-0.007,0,2.57000,0.33000,-0.33000,0,0,0,0,0,01h34m22.735s,23.594729,-66d40m32.95s,-66.675819,111.40,1.30,-1.20,0,111.41,0.44,-0.44,0,10.892,0.016,0,V (Johnson),10.718,,0,5320.00,39.00,-39.00,0,0.86,0.04,-0.04,0,0.85,0.01,-0.01,0,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
TOI-125,c,TOI-125 c,Transit,0,3,9.15059000,0.00070000,-0.00082000,0,0.081400,0.001300,-0.001300,0,0.066000,0.070000,-0.047000,0,88.540,0.410,-0.190,0,0.02086,0.00311,-0.00311,0,Mass,0.246,0.009,-0.009,0,1.73000,0.33000,-0.33000,0,0,0,0,0,01h34m22.735s,23.594729,-66d40m32.95s,-66.675819,111.40,1.30,-1.20,0,111.41,0.44,-0.44,0,10.892,0.016,0,V (Johnson),10.718,,0,5320.00,39.00,-39.00,0,0.86,0.04,-0.04,0,0.85,0.01,-0.01,0,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
TOI-125,d,TOI-125 d,Transit,0,3,19.98000000,0.00500000,-0.00560000,0,0.137000,0.002200,-0.002200,0,0.168000,0.088000,-0.062000,0,88.795,0.180,-0.100,0,0.04279,0.00378,-0.00378,0,Mass,0.261,0.015,-0.015,0,2.98000,0.65000,-0.52000,0,0,0,0,0,01h34m22.735s,23.594729,-66d40m32.95s,-66.675819,111.40,1.30,-1.20,0,111.41,0.44,-0.44,0,10.892,0.016,0,V (Johnson),10.718,,0,5320.00,39.00,-39.00,0,0.86,0.04,-0.04,0,0.85,0.01,-0.01,0,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
TOI-1266,b,TOI-1266 b,Transit,0,2,10.89484300,0.00006700,-0.00006600,0,0.073600,0.001600,-0.001700,0,0.090000,0.060000,-0.050000,0,89.500,0.200,-0.200,0,0.04248,0.03461,-0.02832,0,Mass,0.211,0.014,-0.011,0,,,,0,1,0,0,0,13h11m59.56s,197.998167,+65d50m01.70s,65.833806,36.05,0.03,-0.03,0,36.05,0.03,-0.03,0,12.940,0.050,0,V (Johnson),12.122,,0,3600.00,150.00,-150.00,0,0.45,0.03,-0.03,0,0.42,0.02,-0.02,0,2020-10-08,Transiting Exoplanet Survey Satellite (TESS)
TOI-1266,c,TOI-1266 c,Transit,0,2,18.80151000,0.00067000,-0.00069000,0,0.105800,0.002300,-0.002400,0,0.040000,0.030000,-0.030000,0,89.300,0.100,-0.100,0,0.00692,0.00629,-0.00472,0,Mass,0.139,0.013,-0.012,0,,,,0,1,0,0,0,13h11m59.56s,197.998167,+65d50m01.70s,65.833806,36.05,0.03,-0.03,0,36.05,0.03,-0.03,0,12.940,0.050,0,V (Johnson),12.122,,0,3600.00,150.00,-150.00,0,0.45,0.03,-0.03,0,0.42,0.02,-0.02,0,2020-10-08,Transiting Exoplanet Survey Satellite (TESS)
TOI-132,b,TOI-132 b,Transit,0,1,2.10970190,0.00001200,-0.00001100,0,0.026000,0.002000,-0.003000,0,0.059000,0.050000,-0.037000,0,85.030,1.300,-1.840,0,0.07048,0.00598,-0.00604,0,Mass,0.305,0.012,-0.012,0,3.08000,0.44000,-0.46000,0,0,0,0,1,22h33m35.8683s,338.399451,-43d26m11.9167s,-43.436644,164.47,27.32,-27.32,0,164.45,0.99,-0.99,0,,,,,11.321,,0,5397.00,46.00,-46.00,0,0.97,0.06,-0.06,0,0.90,0.02,-0.02,0,2020-02-27,Transiting Exoplanet Survey Satellite (TESS)
TOI-1338,b,TOI-1338 b,Transit,0,1,95.17400000,0.03100000,-0.03500000,0,0.460700,0.008400,-0.008800,0,0.088000,0.004300,-0.003300,0,89.370,0.350,-0.260,0,0.10383,0.06387,-0.06167,0,Mass,0.611,0.017,-0.017,0,0.56000,0.34000,-0.33000,0,0,0,0,2,06h08m31.97s,92.133208,-59d32m28.08s,-59.541133,403.66,3.19,-3.19,0,403.66,3.19,-3.19,0,11.720,0.020,0,V (Johnson),11.876,,0,6050.00,80.00,-80.00,0,1.13,0.07,-0.07,0,1.33,0.02,-0.03,0,2020-06-04,Transiting Exoplanet Survey Satellite (TESS)
TOI-150,b,TOI-150.01,Transit,0,1,5.85748700,0.00008900,-0.00009700,0,0.070370,0.000870,-0.000880,0,0.262000,0.045000,-0.037000,0,88.090,0.980,-0.680,0,2.51000,0.12000,-0.12000,0,Mass,1.255,0.021,-0.019,0,1.68000,0.12000,-0.12000,0,0,0,0,0,07h31m51.76s,112.965667,-73d36m22.15s,-73.606153,336.00,2.00,-2.00,0,339.56,1.94,-1.94,0,,,,,11.341,,0,6255.00,90.00,-90.00,0,1.35,0.04,-0.03,0,1.53,0.01,-0.01,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
TOI-157,b,TOI-157 b,Transit,0,1,2.08454350,0.00000230,-0.00000230,0,0.031380,0.000250,-0.000200,0,0.000000,,,0,82.010,0.150,-0.160,0,1.18000,0.13000,-0.12000,0,Mass,1.286,0.023,-0.020,0,0.68600,0.08000,-0.07800,0,0,0,0,0,04h54m48.34s,73.701417,-76d40m50.17s,-76.680603,362.10,2.90,-2.80,0,359.36,2.86,-2.86,0,12.730,0.050,0,V (Johnson),12.514,,0,5404.00,70.00,-67.00,0,0.95,0.02,-0.02,0,1.17,0.02,-0.01,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
TOI-163,b,TOI-163 b,Transit,0,1,4.23130600,0.00006300,-0.00005700,0,0.058000,0.001400,-0.001400,0,0.000000,,,0,87.240,0.470,-0.450,0,1.22000,0.12000,-0.12000,0,Mass,1.489,0.034,-0.034,0,0.49000,0.05900,-0.05500,0,0,0,0,0,05h19m04.3s,79.767917,-71d53m43.9s,-71.895528,416.50,8.13,-8.13,0,416.50,8.13,-8.13,0,,,,,11.219,,0,6495.00,90.00,-90.00,0,1.44,0.03,-0.03,0,1.65,0.02,-0.03,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
TOI-169,b,TOI-169 b,Transit,0,1,2.25544770,0.00000630,-0.00000630,0,0.035240,0.000690,-0.000790,0,0.000000,,,0,80.980,0.310,-0.380,0,0.79100,0.06400,-0.06000,0,Mass,1.086,0.081,-0.048,0,0.76000,0.14000,-0.17000,0,0,0,0,0,01h07m06.88s,16.778667,-75d11m56.19s,-75.198942,412.50,4.30,-4.20,0,412.66,4.26,-4.26,0,12.360,0.050,0,V (Johnson),12.238,,0,5880.00,54.00,-49.00,0,1.15,0.07,-0.07,0,1.29,0.02,-0.02,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
TOI-172,b,TOI-172 b,Transit,0,1,9.47725000,0.00064000,-0.00079000,0,0.091400,0.001700,-0.001700,0,0.380600,0.009300,-0.009000,0,88.200,1.100,-1.000,0,5.42000,0.22000,-0.20000,0,Mass,0.965,0.032,-0.029,0,7.53000,0.65000,-0.72000,0,0,0,0,0,21h06m31.65s,316.631875,-26d41m34.29s,-26.692858,336.47,6.79,-6.79,0,346.02,7.30,-7.30,0,,,,,11.193,,0,5645.00,50.00,-50.00,0,1.13,0.07,-0.06,0,1.78,0.05,-0.04,0,2019-03-28,Transiting Exoplanet Survey Satellite (TESS)
TOI-1728,b,TOI-1728 b,Transit,0,1,3.49151000,0.00006200,-0.00005700,0,0.039100,0.000900,-0.000900,0,0.057000,0.054000,-0.039000,0,88.310,0.580,-0.400,0,0.08426,0.01708,-0.01614,0,Mass,0.451,0.014,-0.015,0,1.14000,0.26000,-0.24000,0,0,0,0,0,08h02m26.55s,120.610625,+64d47m48.93s,64.796925,60.80,0.14,-0.13,0,60.90,0.14,-0.14,0,12.400,0.035,0,V (Johnson),11.729,,0,3980.00,31.00,-32.00,0,0.65,0.02,-0.02,0,0.62,0.01,-0.01,0,2020-07-09,Transiting Exoplanet Survey Satellite (TESS)
TOI-1899,b,TOI-1899 b,Transit,0,1,29.02000000,0.36000000,-0.23000000,0,0.158700,0.006700,-0.007500,0,0.118000,0.073000,-0.077000,0,89.770,0.150,-0.140,0,0.66000,0.07000,-0.07000,0,Mass,1.370,0.050,-0.060,0,0.32000,0.05000,-0.06000,0,0,0,0,0,19h57m42.44s,299.426833,+40d08m36.05s,40.143347,128.40,0.30,-0.30,0,128.92,0.25,-0.25,0,,,,,13.555,,0,3841.00,54.00,-45.00,0,0.63,0.03,-0.03,0,0.61,0.02,-0.02,0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS)
TOI-216,c,TOI-216.01,Transit,0,2,34.55600000,0.01400000,-0.01000000,0,0.206900,0.010700,-0.008200,0,0.029000,0.037000,-0.020000,0,89.830,0.110,-0.120,0,0.62927,0.53488,-0.31463,0,Mass,1.007,0.052,-0.037,0,0.76000,0.66000,-0.38000,0,1,0,0,0,04h55m55.25s,73.980208,-63d15m36.2s,-63.260056,178.84,0.89,-0.88,0,178.86,0.88,-0.88,0,12.324,0.069,0,V (Johnson),12.163,,0,5026.00,125.00,-125.00,0,0.87,0.04,-0.03,0,0.84,0.04,-0.03,0,2019-05-09,Transiting Exoplanet Survey Satellite (TESS)
TOI-216,b,TOI-216.02,Transit,0,2,17.08900000,0.01100000,-0.01500000,0,0.129300,0.006700,-0.005100,0,0.132000,0.059000,-0.023000,0,88.364,0.042,-0.068,0,0.09439,0.06293,-0.04405,0,Mass,0.686,0.145,-0.074,0,0.34000,0.31000,-0.18000,0,1,0,0,0,04h55m55.25s,73.980208,-63d15m36.2s,-63.260056,178.84,0.89,-0.88,0,178.86,0.88,-0.88,0,12.324,0.069,0,V (Johnson),12.163,,0,5026.00,125.00,-125.00,0,0.87,0.04,-0.03,0,0.84,0.04,-0.03,0,2019-05-09,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,b,TOI-270 b,Transit,0,3,3.36008000,0.00006500,-0.00007000,0,0.030600,0.003300,-0.005700,0,0.000000,,,0,88.650,0.850,-1.400,0,,,,,,0.111,0.008,-0.007,0,,,,,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,c,TOI-270 c,Transit,0,3,5.66017200,0.00003500,-0.00003500,0,0.047200,0.003000,-0.003300,0,0.000000,,,0,89.530,0.300,-0.420,0,,,,,,0.216,0.012,-0.012,0,,,,,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,d,TOI-270 d,Transit,0,3,11.38014000,0.00011000,-0.00010000,0,0.073300,0.004200,-0.004200,0,0.000000,,,0,89.690,0.160,-0.120,0,,,,,,0.190,0.011,-0.011,0,,,,,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,Transiting Exoplanet Survey Satellite (TESS)
